"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"BARGER PARK","","","","58","Ground water","PO BOX 7
LANDIS, NC 28088","704-857-7571","",""
"BARKERS GROVE BAPTIST CHURCH","","","","25","Ground water","PO BOX 86
UNION GROVE, NC 28689","","",""
"BARNARDSVILLE ELEM SCHOOL","","","","460","Ground water","175 BINGHAM ROAD
ASHEVILLE, NC 28806","828-232-4244","",""
"BARNARDSVILLE FWB CHURCH","","","","100","Ground water","PO BOX 8
BARNARDSVILLE, NC 28709","828-626-2610","",""
"BARNES FARMING CORP MLC  NO 1","","","","41","Ground water","7840 OLD BAILEY HWY
SPRING HOPE, NC 27882","252-459-3102","",""
"BARNES FARMING CORP MLC  NO 6","","","","56","Ground water","7840 OLD BAILEY HWY
SPRING HOPE, NC 27882","252-459-3102","",""
"BARNES FARMING CORP MLC  NO 9","","","","40","Ground water","7840 OLD BAILEY HWY
SPRING HOPE, NC 27882","252-459-3102","",""
"BARNES HILL FWB CHURCH","","","","45","Ground water","5592 WEST MOUNT DR
NASHVILLE, NC 27856","","",""
"BARRINGTON HILLS S/D","","","","101","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BASCOMS CHAPEL CHURCH","","","","75","Ground water","1979 DAN ROAD
ROBBINS, NC 27325","","",""
"BASS MH COURT","","","","87","Ground water","4166 VALENTINE ST
NASHVILLE, NC 27896","","",""
"BAT CAVE BAPTIST CHURCH","","","","150","Ground water","PO BOX 247
BAT CAVE, NC 28710","828-625-9061","",""
"BATH WATER SYSTEM","","","","290","Ground water","PO BOX 6 A
BATH, NC 27808","252-923-0212","",""
"BATON WATER CORPORATION","","","","7,025","Surface water purchased","2611 CONNELLY SPRINGS RD
BATON WATER CORPORATION
GRANITE FALLS, NC 28630","828-728-7003","",""
"BATTLE BRANCH CAFE","","","","25","Ground water","2505 FARMINGTON RD
YADKINVILLE, NC 27055","336-463-2122","",""
"BAXTER HEALTH CARE CORP","","","","2,086","Ground water","PO BOX 1390
MARION, NC 28752","828-756-6608","",""
"BAY LAUREL S/D","","","","56","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BAY POINTE S/D","","","","84","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BAY VILLA RESTAURANT","","","","30","Ground water","PO BOX 171
BAY VILLA ENTERPRISES, INC
KNOTTS ISLAND, NC 27950","252-429-3559","",""
"BAYBERRY S/D","","","","66","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BAYLEAF MASTER","","","","15,565","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BAYWOOD FOREST S/D","","","","533","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"BEACHAM APARTMENTS  NO 1","","","","475","Ground water","1820 WILMINGTON HWY
BEACHAM APARTMENTS LTD
JACKSONVILLE, NC 28540","910-347-6026","",""
"BEACHAM APARTMENTS  NO 2","","","","475","Ground water","1820 WILMINGTON HWY
BEACHAM APARTMENTS LTD
JACKSONVILLE, NC 28540","910-347-6026","",""
"BEACON HILL S/D","","","","91","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BEACON HILLS SD","","","","109","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BEACON POINTE S/D","","","","117","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BEAR CREEK BAPTIST CHURCH","","","","25","Ground water","2534 ZEPHYR MTN PARK ROAD
STATE ROAD, NC 28676","336-874-2526","",""
"BEAR CREEK CHURCH","","","","25","Ground water","365 SQUIRREL COVE RD
ROBBINSVILLE, NC 28771","","",""
"BEAR CREEK PRIMITIVE BAPT CH","","","","35","Ground water","25887 MILLINGPORT ROAD
ALBEMARLE, NC 28001","704-983-2992","",""
"BEAR DEN ACRES","","","","120","Ground water","600 BEAR DEN MOUNTAIN ROAD
SPRUCE PINE, NC 28777","828-765-2888","",""
"BEAR DEN CAMPGROUND","","","","90","Ground water","600 BEAR DEN MOUNTAIN ROAD
SPRUCE PINE, NC 28777","828-765-2888","",""
"BEAR LAKE RESERVE 1B","","","","94","Ground water","PO BOX 1325
ASHEVILLE, NC 28802","828-251-1900","",""
"BEAR LAKE RESERVE GOLDEN FARMS","","","","46","Ground water","PO BOX 1325
ASHEVILLE, NC 28802","828-251-1900","",""
"BEAR PAW RESORT","","","","840","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"BEAR WALLOW VALLEY MHP","","","","124","Ground water","PO BOX 745
HENDERSONVILLE, NC 28793","","",""
"BEARD ACRES","","","","140","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BEARD`S CHAPEL BAPTIST CHURCH","","","","50","Ground water","6504 US 701 N
WHITE LAKE, NC 28337","","",""
"BEARWALLOW BAPTIST CHURCH","","","","40","Ground water","PO BOX 51
GERTON, NC 28735","828-329-2450","",""
"BEAUFORT CO NORTHSIDE REGIONAL WATER","","","","22,428","Ground water purchased","111 W 2ND ST
WASHINGTON, NC 27889","252-975-0720","",""
"BEAUFORT CO SOUTHSIDE","","","","9,203","Ground water","111 W 2ND ST
WASHINGTON, NC 27889","252-975-0720","",""
"BEAUFORT, TOWN OF","","","","4,539","Ground water","PUBLIC UTILITIES DIRECTOR
412 HEDRICK STREET
BEAUFORT, NC 28516","252-838-0197","",""
"BEAVER CREEK ADVENT CHRISTIAN","","","","25","Ground water","PO BOX 458
FERGUSON, NC 28624","","",""
"BEAVER CREEK BAPTIST CHURCH","","","","25","Ground water","11531 WEST HWY 268
FERGUSON, NC 28624","336-973-3814","",""
"BEAVER CREEK BBQ","","","","25","Ground water","14426 HWY 86 S
PROSPECT HILL, NC 27314","336-562-2138","",""
"BEAVER CREEK GOLF COURSE","","","","25","Ground water","610 PRATT ROAD
DOBSON, NC 27017","336-374-5670","",""
"BEAVER DAM BAPTIST CHURCH","","","","100","Ground water","4693 BEAVER DAM CHURCH RD
ROSEBORO, NC 28382","910-531-3877","",""
"BEAVER DAM ELEM SCHOOL","","","","170","Ground water","810 GILLESPIE ST
FAYETTEVILLE, NC 28306","910-678-2648","",""
"BEAVER DAM STATE PARK","","","","100","Ground water","13304 CREEDMOOR RD.
WAKE FOREST, NC 27587","919-676-1027","",""
"BEAVER ISLAND BAPTIST CHURCH","","","","25","Ground water","410 ODELL ROAD
MAYODAN, NC 27027","","",""
"BEAVERDAM FWB CHURCH","","","","400","Ground water","1180 MARY WHITE ROAD
WHITEVILLE, NC 28472","910-653-4713","",""
"BECKY'S COUNTRY STORE & GRILL","","","","40","Ground water","2259 HWY 226
BOSTIC, NC 28018","828-245-1733","",""
"BEE LOG ELEM SCHOOL","","","","45","Ground water","PO BOX 190
BURNSVILLE, NC 28714","828-284-2356","",""
"BEECH GLEN COMMUNITY CENTER","","","","90","Ground water","PO BOX 579
MARSHALL, NC 28753","828-649-9593","",""
"BEECH MOUNTAIN, TOWN OF","","","","2,418","Surface water","403 BEECH MOUNTAIN PKWY
BEECH MOUNTAIN, NC 28604","828-387-9368","",""
"BEECHBROOK S/D","","","","97","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"BEECHNUT FAMILY CAMPGROUND","","","","40","Ground water","315 BEECHNUT LANE
MT. AIRY, NC 27030","336-320-3802","",""
"BEECHWOOD COVE/POLKS LANDING","","","","390","Surface water purchased","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BELEWS LANDING S/D","","","","206","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BELHAVEN WATER SYSTEM","","","","1,960","Ground water","PO BOX 220
BELHAVEN, NC 27810","252-943-3055","",""
"BELK BUILDING SUPPLY LLC","","","","50","Ground water","131 BROTHERS RD
SOUTHERN PINES, NC 28387","910-692-4777","",""
"BELL ARTHUR WATER CORP","","","","10,310","Surface water purchased","PO BOX 617
BELL ARTHUR, NC 27834","252-752-6252","",""
"BELLA VISTA S/D","","","","25","Ground water","4700 HOMEWOOD CT SUITE 108
C/O OLD NORTH STATE WATER CO
RALEIGH, NC 27609","919-971-3469","",""
"BELLE MEADE S/D","","","","71","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BELLE RIDGE S/D","","","","143","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BELLEMONT FOOD STORE","","","","25","Ground water","4214 SOUTH HWY 49
ATTENTION: RICK CRAVEN
BURLINGTON, NC 27215","336-227-2440","",""
"BELLEMONT UMC","","","","215","Ground water","4039 MARKWOOD DR
BURLINGTON, NC 27215","336-227-4632","",""
"BELL`S ISLAND CAMPGROUND","","","","160","Ground water","107 BAGGY DAVIS LANE
CURRITUCK, NC 27929","252-232-2590","",""
"BELMONT ABBEY COLLEGE","","","","700","Ground water","100 BELMONT MT. HOLLY ROAD
BELMONT ABBEY COLLEGE
BELMONT, NC 28012","704-461-6465","",""
"BELMONT CONGREGATIONAL HOLINES","","","","40","Ground water","4018 PINE ST
GASTONIA, NC 28056","704-827-0459","",""
"BELMONT MOOSE LODGE","","","","298","Ground water","PO BOX 896
BELMONT, NC 28012","704-825-3721","",""
"BELMONT, CITY OF","","","","11,077","Surface water","PO BOX 431
BELMONT, NC 28012","704-825-2625","",""
"BELVEDERE COUNTRY CLUB","","","","200","Ground water","2368 COUNTRY CLUB DR
HAMPSTEAD, NC 28443","910-270-2703","",""
"BELVEDERE PLANTATION","","","","3,195","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"BENAJA CROSSING MH S/D","","","","99","Ground water","222 AMANDA WAY
REIDSVILLE, NC 27320","","",""
"BENEFICIAL FOODS","","","","50","Ground water","PO BOX 1549
C/O RODNEY BOOTH
COLUMBUS, NC 28722","828-894-0124","",""
"BENHAM BAPTIST CHURCH","","","","25","Ground water","5838 AUSTIN TRAPHILL RD
ELKIN, NC 28621","336-957-8498","",""
"BENSALEM PRESBYTERIAN CHURCH","","","","50","Ground water","165 HOLLY GROVE SCHOOL RD
WEST END, NC 27376","","",""
"BENSON, TOWN OF","","","","3,917","Surface water purchased","PO BOX 69
BENSON, NC 27504","919-894-3553","",""
"BENT CREEK WATER SYSTEM","","","","800","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"BENTWINDS GOLF COURSE & CC","","","","450","Ground water","6536 DORNOCH PL
FUQUAY VARINA, NC 27526-9005","919-552-5656","",""
"BENTWINDS GOLF COURSE-WELL  NO 3","","","","450","Ground water","6536 DORNOCH PL
FUQUAY VARINA, NC 27526-9005","919-552-5656","",""
"BENTWINDS GOLF COURSE-WELL  NO 4","","","","450","Ground water","6536 DORNOCH PL
FUQUAY VARINA, NC 27526-9005","919-552-5656","",""
"BEREA BAPTIST CHURCH","","","","100","Ground water","2522 HICKORY GROVE RD
GASTONIA, NC 28056","704-827-3241","",""
"BEREA BAPTIST CHURCH","","","","75","Ground water","626 BEREA CHURCH RD
HENDERSONVILLE, NC 28739","","",""
"BEREA BRANCH LIBRARY","","","","25","Ground water","415 Central Avenue Ste B
BUTNER, NC 27509","919-575-3112","",""
"BEREA MINI MART","","","","25","Ground water","117 EAST QUAIL RIDGE RD
OXFORD, NC 27565","919-690-8343","",""
"BERKLEY OAKS LLC","","","","196","Ground water","3625 BELVIDERE COURT
MURFREESBORO, TN 37124-7163","615-653-1543","",""
"BERKSHIRE DOWNS","","","","272","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BERRONG RIDGE  RV PARK","","","","25","Ground water","141 CLYDE ASHE DRIVE
HAYESVILLE, NC 28904","","",""
"BERRYHILL ELEM SCHOOL","","","","750","Ground water","3301 stafford Drive
CHARLOTTE, NC 28208","","",""
"BERRY`S GROVE BAPTIST CHURCH","","","","120","Ground water","9628 Berry Road
TIMBERLAKE, NC 27583","336-364-8158","",""
"BERTIE COUNTY REGIONAL WATER","","","","12,662","Ground water","PO BOX 487
106 DUNDEE ST BERTIE COUNTY WATER SYSTEM
WINDSOR, NC 27983","252-794-5350","",""
"BESS CHAPEL UMC","","","","70","Ground water","6251 FLAY RD
CHERRYVILLE, NC 28021","","",""
"BESSEMER CITY, CITY OF","","","","5,484","Surface water","132 WEST VIRIGINA AVE
BESSEMER CITY, NC 28016","704-629-5684","",""
"BEST WESTERN-MOUNTAIN LODGE","","","","100","Ground water","1615 TYNECASTLE HWY
BANNER ELK, NC 28604","828-898-4571","",""
"BETH HAVEN BAPTIST CHURCH","","","","220","Ground water","PO BOX 156
DENVER, NC 28037","704-483-2635","",""
"BETH SHALOM","","","","180","Ground water","5713 YATES MILL POND RD
RALEIGH, NC 27606","919-858-7777","",""
"BETHANY BAPT CHURCH & SCHOOL","","","","40","Ground water","135 BERT LANE RD
BREVARD, NC 28712","828-884-5791","",""
"BETHANY BAPTIST CHURCH","","","","75","Ground water","11500 BRUSHY MOUNTAIN RD
MORAVIAN FALLS, NC 28654","","",""
"BETHANY COMMUNITY SCHOOL","","","","380","Ground water","1288 HUDSON ROAD
SUMMERFIELD, NC 27358","336-951-2169","",""
"BETHANY LUTHERAN CHURCH","","","","25","Ground water","1030 BIG HILL ROAD
BLDG. GROUNDS COMMITTEE
BOONE, NC 28607","828-262-4560","",""
"BETHANY MISSIONARY BAPTIST","","","","25","Ground water","245 BETHANY CHURCH RD
ROUGEMONT, NC 27572","336-364-3606","",""
"BETHANY UNITED CH OF CHRIST","","","","65","Ground water","121 3rd ST N.E.
CONOVER, NC 28613","828-464-7711","",""
"BETHANY UNITED METH CHURCH","","","","25","Ground water","2445 MILLBORO RD
FRANKLINVILLE, NC 27248","336-259-7751","",""
"BETHAVEN WATER SYSTEM","","","","66","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BETHEL BAPTIST CHURCH","","","","100","Ground water","5868 PIGEON RD
CANTON, NC 28716","828-648-4106","",""
"BETHEL BAPTIST CHURCH","","","","150","Ground water","238 DIXON RD
GRAHAM, NC 27253","336-227-3818","",""
"BETHEL BAPTIST CHURCH","","","","200","Ground water","3035 NC HWY 8 SOUTH
WALNUT COVE, NC 27052","336-593-8376","",""
"BETHEL BAPTIST CHURCH","","","","25","Ground water","1120 FLEMING RD
YADKINVILLE, NC 27055","","",""
"BETHEL BAPTIST CHURCH","","","","60","Ground water","9326 BETHEL HICKORY GROVE CH
CHAPEL HILL, NC 27516","919-929-5064","",""
"BETHEL BAPTIST CHURCH","","","","150","Ground water","1162 EAST MONBO RD
STATESVILLE, NC 28677","704-528-5036","",""
"BETHEL BAPTIST CHURCH","","","","150","Ground water","205 BETHEL CHURCH RD
MARION, NC 28752","828-738-8104","",""
"BETHEL BAPTIST CHURCH_1058026","","","","70","Ground water","1003 HOLLAND CREEK RD
MARS HILL, NC 28754","","",""
"BETHEL CHRISTIAN CHURCH","","","","25","Ground water","344 STONEY CREEK CHURCH RD.
BURLINGTON, NC 27217","","",""
"BETHEL CHURCH OF GOD","","","","75","Ground water","1183 CHRISCOE RD
SEAGROVE, NC 27341","","",""
"BETHEL ELEMENTARY SCHOOL","","","","550","Ground water","401 FARM VIEW DR
HAYWOOD COUNTY SCHOOL - MAINT DEPT
WAYNESVILLE, NC 28786","828-456-2402","",""
"BETHEL ELEMENTARY SCHOOL","","","","210","Ground water","PO BOX 1790
BOONE, NC 28607","828-264-6393","",""
"BETHEL EVANGELICAL LUTH CH","","","","100","Ground water","509 LONG SHOALS RD
LINCOLNTON, NC 28092","704-922-5487","",""
"BETHEL FWB CHURCH","","","","150","Ground water","PO BOX 236
NEBO, NC 28761","828-652-7908","",""
"BETHEL HILL BAPTIST CHURCH","","","","75","Ground water","201 OLD US HWY 501
ROXBORO, NC 27574","336-597-7347","",""
"BETHEL JR HIGH SCHOOL","","","","275","Ground water","401 FARM VIEW DR
HAYWOOD COUNTY SCHOOL - MAINT DEPT
WAYNESVILLE, NC 28786","828-456-2402","",""
"BETHEL LUTHERAN CHURCH","","","","350","Ground water","355 E RIDGE RD
SALISBURY, NC 28144","704-636-0331","",""
"BETHEL LUTHERAN CHURCH","","","","300","Ground water","5759 BOLICK RD
CLAREMONT, NC 28610","828-459-7378","",""
"BETHEL METHODIST CHURCH","","","","50","Ground water","2560 JAMES ST
SALISBURY, NC 28146","704-639-1084","",""
"BETHEL MISSIONARY BAPTIST CH","","","","100","Ground water","4240 VASHTI RD
TAYLORSVILLE, NC 28681","","",""
"BETHEL PRESBYTERIAN CHURCH","","","","100","Ground water","300 KNOX RD
MCLEANSVILLE, NC 27301","336-697-1387","",""
"BETHEL UMC","","","","25","Ground water","3321 BETHEL CHURCH ROAD
KERNERSVILLE, NC 27284","336-643-0509","",""
"BETHEL UMC","","","","85","Ground water","804 SONOMA ROAD
WAYNESVILLE, NC 28786","828-648-0925","",""
"BETHEL UMC CHURCH","","","","90","Ground water","102 SHARPE FARM DR
STATESVILLE, NC 28625","","",""
"BETHEL UNITED METHODIST CHURCH","","","","75","Ground water","714 WALTER TODD RD
CLARENDON, NC 28432","","",""
"BETHEL UNITED METHODIST CHURCH","","","","25","Ground water","2956 SUMMITT DR
HAW RIVER, NC 27258","336-269-7510","",""
"BETHEL WESLEYAN CHURCH","","","","100","Ground water","PO BOX 268
DANA, NC 28724","","",""
"BETHEL WESLYAN CHURCH","","","","75","Ground water","4036 OLD CONCORD SALISBURY ROAD
KANNAPOLIS, NC 28083","704-933-2896","",""
"BETHEL, TOWN OF","","","","1,640","Surface water purchased","PO BOX 337
BETHEL, NC 27812","252-825-9436","",""
"BETHESDA FULL GOSPEL TABERNACL","","","","30","Ground water","5424 BUD WILSON RD
GASTONIA, NC 28056","704-868-4248","",""
"BETHESDA UMC","","","","25","Ground water","2052 DILLARD RD
MADISON, NC 27025","336-427-3071","",""
"BETHLEHEM BAPTIST CHURCH","","","","120","Ground water","614 Cresstar Drive
ROLESVILLE, NC 27571","919-496-5121","",""
"BETHLEHEM BAPTIST CHURCH","","","","85","Ground water","PO BOX 568
OLD FORT, NC 28762","","",""
"BETHLEHEM BAPTIST CHURCH","","","","50","Ground water","3146 DOWD RD
CARTHAGE, NC 28327","","",""
"BETHLEHEM CHILD CARE CENTER","","","","61","Ground water","PO BOX 14
CLIMAX, NC 27233","336-674-9879","",""
"BETHLEHEM FAMILY LIFE CENTER_4092116","","","","300","Ground water","4425 CLIFTON RD
KNIGHTDALE, NC 27545","","",""
"BETHLEHEM MISSIONARY BAPT CH","","","","70","Ground water","175 GEORGE II HWY SE
WINNABOW, NC 28479","910-371-2580","",""
"BETHLEHEM TRADING POST","","","","30","Ground water","108 EAST HALIWA DR
WARRENTON, NC 27589","","",""
"BETHLEHEM UMC","","","","100","Ground water","5300 Nesbit Road
WAXHAW, NC 28173","704-767-3602","",""
"BETHPAGE LUTHERAN CHURCH","","","","133","Ground water","3440 HWY 182
BETHPAGE LUTHERAN CHURCH
LINCOLNTON, NC 28092","704-735-8405","",""
"BETHPAGE UMC","","","","50","Ground water","109 FELLOWSHIP DR
KANNAPOLIS, NC 28081","704-932-5296","",""
"BETSEY`S OLE COUNTRY STORE","","","","30","Ground water","8395 HWY 90
COLLETTSVILLE, NC 28611","828-758-5051","",""
"BETTS BROOKE S/D WATER SYSTEM","","","","46","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BETTY`S WATERFRONT RESTAURANT","","","","100","Ground water","PO BOX 129
SHALLOTTE, NC 28459","910-842-3381","",""
"BEULAH BAPTIST CHURCH","","","","150","Ground water","7088 WILLOW RD
HENDERSONVILLE, NC 28739","828-692-9432","",""
"BEULAH BAPTIST CHURCH","","","","325","Ground water","8225 Mitchell Mill Rd
ZEBULON, NC 27597","","",""
"BEULAH BAPTIST CHURCH","","","","25","Ground water","8454 HOWARD MILL RD
BENNETT, NC 27208","336-581-3121","",""
"BEULAH BAPTIST CHURCH","","","","75","Ground water","2158 NC HWY 119 NORTH
LEASBURG, NC 27291","","",""
"BEULAH BAPTIST CHURCH","","","","75","Ground water","4820 PENIEL RD
TRYON, NC 28782","828-894-8922","",""
"BEULAH BAPTIST CHURCH  NO 2","","","","75","Ground water","415 N. ST. JOHN STREET
BURLINGTON, NC 27217","","",""
"BEULAH COMMUNITY CENTER","","","","25","Ground water","118 HAMBY RD
SUITE 320
DOBSON, NC 27017","336-401-8061","",""
"BEULAH HEIGHT WESLEYAN CH","","","","77","Ground water","438 OSTWALT AMITY RD
TROUTMAN, NC 28166","","",""
"BEULAVILLE, TOWN OF","","","","1,326","Ground water","PO BOX 130
BEULAVILLE, NC 28518","910-298-4647","",""
"BEVERLY ACRES.","","","","137","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BIBLE BAPTIST CHURCH","","","","50","Ground water","6394 HILDEBRAN SHELBY RD
HICKORY, NC 28601","","",""
"BIBLE BAPTIST CHURCH","","","","25","Ground water","1213 BOYD RD
REIDSVILLE, NC 27320","336-349-7040","",""
"BIBLE MISSIONARY BAPT CHURCH","","","","50","Ground water","11360 OLD CONCORD RD
ROCKWELL, NC 28138","","",""
"BIBLE WESLEYAN CHURCH & CHRISTIAN SCHOOL","","","","50","Ground water","106 MOORES CHAPEL CEMETARY RD
GRAHAM, NC 27253","336-376-3913","",""
"BIG CREEK CAMPGROUND","","","","100","Ground water","107 PARK HEADQUARTERS RD
GATLINBURG, TN 37738","865-436-1237","",""
"BIG DADDY`S RESTAURANT","","","","55","Ground water","1162 RIVER HWY
MOORESVILLE, NC 28117","704-663-4242","",""
"BIG IVY COM DEVELOPMENT C","","","","50","Ground water","PO BOX 424
BARNARDSVILLE, NC 28709","828-626-3438","",""
"BIG LAUREL BAPTIST CHURCH","","","","80","Ground water","707 LONESOME MT RD
MARSHALL, NC 28753","","",""
"BIG LEAGUE CAMP","","","","100","Ground water","250 MONTE VISTA AVENUE
MARION, NC 28752","828-738-3540","",""
"BIG LEVEL BAPTIST CHURCH","","","","75","Ground water","331 POWELL ROAD
MILL SPRING, NC 28756","828-625-4441","",""
"BIG LYNN LODGE","","","","75","Ground water","PO BOX 459
LITTLE SWITZERLAND, NC 28749","828-765-4257","",""
"BIG MACEDONIA MISS BAPT CHURCH","","","","55","Ground water","PO BOX 9
SUPPLY, NC 28462","","",""
"BIG MEADOWS BAPTIST CHURCH","","","","70","Ground water","1845 HORNEY RD
NEWLAND, NC 28675","","",""
"BIG PINEY GROVE MISS BAPT CH","","","","75","Ground water","PO BOX 953
ROSEBORO, NC 28382","","",""
"BIG RIDGE MHP","","","","50","Ground water","955 OLD WINBERRY RD
NEWPORT, NC 28570","252-723-3686","",""
"BIG RIDGE S/D","","","","51","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"BIG SHEEP CLIFF","","","","93","Ground water","PO BOX 1325
ASHEVILLE, NC 28802","828-251-1900","",""
"BIG SPRINGS BAPTIST CHURCH","","","","100","Ground water","3422 CROWDER RIDGE RD
SHELBY, NC 28150","704-538-7172","",""
